,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
9525,DeleteEvent,2015-09-11 12:44:17+00:00,30921526,mozilla-services/cliquet,229453,Natim,1066228,mozilla-services,branch,add-keyvalue-store,user
9528,DeleteEvent,2015-09-01 12:55:04+00:00,30921526,mozilla-services/cliquet,229453,Natim,1066228,mozilla-services,branch,object-ids-permission-backend,user
9563,DeleteEvent,2018-07-30 11:53:41+00:00,137590135,cfpb/django-flags,10562538,willbarton,1071563,cfpb,branch,django-flags,user
9565,DeleteEvent,2017-02-22 23:14:31+00:00,80529037,cfpb/wagtail-flags,10562538,willbarton,1071563,cfpb,branch,check-flag,user
9703,DeleteEvent,2018-03-21 04:39:06+00:00,4802269,dnanexus/dx-toolkit,2283292,commandlinegirl,1161297,dnanexus,branch,install-deps,user
9705,DeleteEvent,2015-02-06 22:35:02+00:00,4802269,dnanexus/dx-toolkit,146557,psung,1161297,dnanexus,branch,PTFM-13951-retry-connection-errors,user
9707,DeleteEvent,2017-10-16 22:28:06+00:00,4802269,dnanexus/dx-toolkit,2283292,commandlinegirl,1161297,dnanexus,branch,DEVEX-367-cli-lockdown,user
9720,DeleteEvent,2017-04-23 17:15:05+00:00,7444957,zopefoundation/BTrees,159967,mgedmin,1163184,zopefoundation,branch,manylinux27,user
9723,DeleteEvent,2017-12-20 07:17:54+00:00,8367474,zopefoundation/z3c.form,386619,icemac,1163184,zopefoundation,branch,fix-41-3.x,user
9726,DeleteEvent,2017-12-15 13:23:26+00:00,8136790,zopefoundation/zope.tal,1256082,jamadden,1163184,zopefoundation,branch,pagetemplates-docs,user
9735,DeleteEvent,2017-09-15 07:35:12+00:00,8410895,zopefoundation/AccessControl,386619,icemac,1163184,zopefoundation,branch,str-format-master,user
9749,DeleteEvent,2016-11-28 13:32:02+00:00,8411519,zopefoundation/DocumentTemplate,483109,hannosch,1163184,zopefoundation,branch,zope2,user
9755,DeleteEvent,2018-06-15 12:24:07+00:00,8410589,zopefoundation/zope.testbrowser,386619,icemac,1163184,zopefoundation,branch,CheckboxListControl-mechRepr,user
9848,DeleteEvent,2018-08-31 09:58:57+00:00,128863320,sci-visus/OpenVisus,1260735,scrgiorgio,1258106,sci-visus,branch,slam,user
9984,DeleteEvent,2017-03-21 15:08:35+00:00,24993138,google/brotli,203457,eustas,1342004,google,branch,context-go,user
10125,DeleteEvent,2018-07-11 06:03:09+00:00,24624545,quantopian/qgrid,5055866,TimShawver,1393215,quantopian,branch,edit-cell-docs,user
10194,DeleteEvent,2018-07-20 14:16:18+00:00,137814779,getsentry/sentry-python,837573,untitaker,1396951,getsentry,branch,string-repr-vars,user
10210,DeleteEvent,2018-07-17 21:46:49+00:00,83748372,h2oai/datatable,4231472,st-pasha,1402695,h2oai,branch,0row2,user
10219,DeleteEvent,2018-02-07 10:10:15+00:00,25181584,h2oai/sparkling-water,4374603,jakubhava,1402695,h2oai,branch,jh/jira/sw-709,user
10224,DeleteEvent,2018-07-12 07:44:10+00:00,25181584,h2oai/sparkling-water,4374603,jakubhava,1402695,h2oai,branch,jh/jira/sw-929,user
